ParentKey;LineNum;ItemCode;ItemDescription;Quantity;Price;LineTotal;Currency;WarehouseCode;AccountCode;CostingCode;TaxCode;U_HAK_DESTINO
DocNum;LineNum;ItemCode;Dscription;Quantity;Price;LineTotal;Currency;WhsCode;AcctCode;OcrCode;TaxCode;U_HAK_DESTINO
1;0;;COMPRA LIQUIDACION JULIO 2024;1;533.46;533.46;SOL;;6011100;GV-MEGA;IGV_EXE;
2;0;;COMPRA LIQUIDACION JULIO 2024;1;1275;1275;SOL;;6011100;GV-MEGA;IGV_EXE;
3;0;;COMPRA LIQUIDACION JULIO 2024;1;993.54;993.54;SOL;;6011100;GV-MEGA;IGV_EXE;
4;0;;COMPRA LIQUIDACION JULIO 2024;1;171;171;SOL;;6011100;GV-MEGA;IGV_EXE;
5;0;;COMPRA LIQUIDACION JULIO 2024;1;1054.53;1054.53;SOL;;6011100;GV-MEGA;IGV_EXE;
6;0;;COMPRA LIQUIDACION JULIO 2024;1;1025.22;1025.22;SOL;;6011100;GV-MEGA;IGV_EXE;
7;0;;COMPRA LIQUIDACION JULIO 2024;1;1018.53;1018.53;SOL;;6011100;GV-MEGA;IGV_EXE;
8;0;;COMPRA LIQUIDACION JULIO 2024;1;165.6;165.6;SOL;;6011100;GV-MEGA;IGV_EXE;
9;0;;COMPRA LIQUIDACION JULIO 2024;1;254.4;254.4;SOL;;6011100;GV-MEGA;IGV_EXE;
10;0;;COMPRA LIQUIDACION JULIO 2024;1;1059;1059;SOL;;6011100;GV-MEGA;IGV_EXE;
11;0;;COMPRA LIQUIDACION JULIO 2024;1;946.8;946.8;SOL;;6011100;GV-MEGA;IGV_EXE;
12;0;;COMPRA LIQUIDACION JULIO 2024;1;980.67;980.67;SOL;;6011100;GV-MEGA;IGV_EXE;
13;0;;COMPRA LIQUIDACION JULIO 2024;1;1197;1197;SOL;;6011100;GV-MEGA;IGV_EXE;
14;0;;COMPRA LIQUIDACION JULIO 2024;1;980.61;980.61;SOL;;6011100;GV-MEGA;IGV_EXE;
